model,perm_id,mse,mae
Transformixer,0,1.284137099981308,0.9019112475216389
Transformixer,1,1.2863841205835342,0.9026513397693634
Transformixer,2,1.2872369661927223,0.9031203798949718
Transformixer,3,1.2877597883343697,0.9031673409044743
Transformixer,4,1.2857440188527107,0.9026403836905956
Transformixer,5,1.2883190512657166,0.9034421257674694
Transformixer,6,1.284913331270218,0.902175173163414
Transformixer,7,1.288010761141777,0.9030927754938602
Transformixer,8,1.285820983350277,0.9024781361222267
xLSTM-Mixer,0,1.3462667390704155,0.9224108122289181
xLSTM-Mixer,1,1.3467632979154587,0.9226376563310623
xLSTM-Mixer,2,1.3502220511436462,0.9239117801189423
xLSTM-Mixer,3,1.3475013673305511,0.9230828881263733
xLSTM-Mixer,4,1.3473672717809677,0.9229773618280888
xLSTM-Mixer,5,1.3502485528588295,0.9239155352115631
xLSTM-Mixer,6,1.3486986607313156,0.9232826381921768
xLSTM-Mixer,7,1.350323960185051,0.9237653315067291
xLSTM-Mixer,8,1.349601224064827,0.9235891439020634
